Entity,Code,Year,LifeSatisfaction
Afghanistan,AFG,2020,2.40380001068115
Albania,ALB,2020,5.1988000869751
Algeria,DZA,2020,5.12230014801025
Angola,AGO,2012,3.79483795166016
Argentina,ARG,2020,5.96700000762939
Armenia,ARM,2020,5.39860010147095
Australia,AUS,2020,7.16209983825684
Austria,AUT,2020,7.16300010681152
Azerbaijan,AZE,2020,5.17339992523193
Bahrain,BHR,2020,6.64690017700195
Bangladesh,BGD,2020,5.15549993515015
Belarus,BLR,2020,5.82149982452393
Belgium,BEL,2020,6.80499982833862
Belize,BLZ,2012,5.95564651489258
Benin,BEN,2020,4.62319993972778
Bhutan,BTN,2013,5.08212852478027
Bolivia,BOL,2020,5.60029983520508
Bosnia and Herzegovina,BIH,2020,5.76800012588501
Botswana,BWA,2020,3.4711000919342
Brazil,BRA,2020,6.292799949646
Bulgaria,BGR,2020,5.37090015411377
Burkina Faso,BFA,2020,4.67049980163574
Burundi,BDI,2019,3.77530002593994
Cambodia,KHM,2020,4.64029979705811
Cameroon,CMR,2020,5.04759979248047
Canada,CAN,2020,7.02510023117065
Central African Republic,CAF,2015,3.4758620262146
Chad,TCD,2020,4.25080013275146
Chile,CHL,2020,6.17180013656616
China,CHN,2020,5.58529996871948
Colombia,COL,2020,5.78060007095337
Comoros,COM,2020,4.60860013961792
Congo,COG,2020,5.07520008087158
Costa Rica,CRI,2020,6.58199977874756
Cote d'Ivoire,CIV,2020,5.23460006713867
Croatia,HRV,2020,6.12519979476929
Cuba,CUB,2004,5.41786861419678
Cyprus,CYP,2020,6.22090005874634
Czechia,CZE,2020,6.9197998046875
Democratic Republic of Congo,COD,2015,4.31103324890137
Denmark,DNK,2020,7.63619995117188
Djibouti,DJI,2009,4.36919355392456
Dominican Republic,DOM,2020,5.7371997833252
Ecuador,ECU,2020,5.53329992294312
Egypt,EGY,2020,4.28770017623901
El Salvador,SLV,2020,6.11999988555908
Estonia,EST,2020,6.3407998085022
Eswatini,SWZ,2020,4.39610004425049
Ethiopia,ETH,2020,4.24149990081787
Finland,FIN,2020,7.82100009918213
France,FRA,2020,6.68669986724854
Gabon,GAB,2020,4.95830011367798
Gambia,GMB,2020,5.16359996795654
Georgia,GEO,2020,4.97319984436035
Germany,DEU,2020,7.03410005569458
Ghana,GHA,2020,4.87200021743774
Greece,GRC,2020,5.94820022583008
Guatemala,GTM,2020,6.26219987869263
Guyana,GUY,2005,5.99282646179199
Haiti,HTI,2019,3.6149001121521
Honduras,HND,2004,5.39651966094971
Honduras,HND,2020,6.02209997177124
Hong Kong,HKG,2020,5.42479991912842
Hungary,HUN,2020,6.0858998298645
Iceland,ISL,2020,7.55749988555908
India,IND,2020,3.77710008621216
Indonesia,IDN,2020,5.23960018157959
Iran,IRN,2020,4.88789987564087
Iraq,IRQ,2020,4.94089984893799
Ireland,IRL,2020,7.04080009460449
Israel,ISR,2020,7.36380004882812
Italy,ITA,2020,6.46670007705688
Jamaica,JAM,2020,5.84959983825684
Japan,JPN,2020,6.03889989852905
Jordan,JOR,2020,4.15210008621216
Kazakhstan,KAZ,2020,6.23409986495972
Kenya,KEN,2020,4.54300022125244
Kosovo,OWID_KOS,2020,6.45510005950928
Kuwait,KWT,2020,6.10610008239746
Kyrgyzstan,KGZ,2020,5.82849979400635
Laos,LAO,2020,5.14029979705811
Latvia,LVA,2020,6.18039989471436
Lebanon,LBN,2020,2.95530009269714
Lesotho,LSO,2020,3.51180005073547
Liberia,LBR,2020,5.12150001525879
Libya,LBY,2020,5.3302001953125
Lithuania,LTU,2020,6.4456000328064
Luxembourg,LUX,2020,7.40399980545044
Madagascar,MDG,2020,4.3390998840332
Malawi,MWI,2020,3.75040006637573
Malaysia,MYS,2020,5.71129989624023
Maldives,MDV,2019,5.1975998878479
Mali,MLI,2020,4.47900009155273
Malta,MLT,2020,6.44689989089966
Mauritania,MRT,2020,4.15259981155396
Mauritius,MUS,2020,6.07110023498535
Mexico,MEX,2020,6.12760019302368
Moldova,MDA,2020,5.8568000793457
Mongolia,MNG,2020,5.76070022583008
Montenegro,MNE,2020,5.54680013656616
Morocco,MAR,2020,5.05989980697632
Mozambique,MOZ,2020,5.04829978942871
Myanmar,MMR,2020,4.39419984817505
Namibia,NAM,2020,4.45940017700195
Nepal,NPL,2020,5.37650012969971
Netherlands,NLD,2020,7.4148998260498
New Zealand,NZL,2020,7.19980001449585
Nicaragua,NIC,2020,6.16459989547729
Niger,NER,2020,5.00349998474121
Nigeria,NGA,2020,4.55200004577637
North Macedonia,MKD,2020,5.19899988174438
Northern Cyprus,OWID_CYN,2020,5.46659994125366
Norway,NOR,2020,7.36509990692139
Oman,OMN,2009,6.85298204421997
Pakistan,PAK,2020,4.51579999923706
Palestine,PSE,2020,4.48250007629395
Panama,PAN,2020,6.30910015106201
Paraguay,PRY,2020,5.57829999923706
Peru,PER,2020,5.55910015106201
Philippines,PHL,2020,5.90360021591187
Poland,POL,2020,6.12279987335205
Portugal,PRT,2020,6.01630020141602
Qatar,QAT,2013,6.37452936172485
Romania,ROU,2020,6.47700023651123
Russia,RUS,2020,5.45860004425049
Rwanda,RWA,2020,3.2681999206543
Saudi Arabia,SAU,2020,6.52279996871948
Senegal,SEN,2020,5.04610013961792
Serbia,SRB,2020,6.17799997329712
Sierra Leone,SLE,2020,3.57399988174438
Singapore,SGP,2020,6.48019981384277
Slovakia,SVK,2020,6.39069986343384
Slovenia,SVN,2020,6.63009977340698
Somalia,SOM,2014,4.66794109344482
Somaliland region,,2010,5.05731439590454
South Africa,ZAF,2020,5.1939001083374
South Korea,KOR,2020,5.93510007858276
South Sudan,SSD,2015,2.81662249565125
Spain,ESP,2020,6.47629976272583
Sri Lanka,LKA,2020,4.3621997833252
Sudan,SDN,2012,4.13867282867432
Suriname,SUR,2010,6.26928663253784
Sweden,SWE,2020,7.38430023193359
Switzerland,CHE,2020,7.51160001754761
Syria,SYR,2013,3.4619128704071
Taiwan,TWN,2020,6.51249980926514
Tajikistan,TJK,2020,5.37709999084473
Tanzania,TZA,2020,3.70239996910095
Thailand,THA,2020,5.89120006561279
Togo,TGO,2020,4.11229991912842
Trinidad and Tobago,TTO,2015,6.19185972213745
Tunisia,TUN,2020,4.51599979400635
Turkey,TUR,2020,4.74420022964478
Turkmenistan,TKM,2020,5.47429990768433
Uganda,UGA,2020,4.60260009765625
Ukraine,UKR,2020,5.08409976959229
United Arab Emirates,ARE,2020,6.57600021362305
United Kingdom,GBR,2020,6.94250011444092
United States,USA,2020,6.97679996490479
Uruguay,URY,2020,6.47359991073608
Uzbekistan,UZB,2020,6.06269979476929
Venezuela,VEN,2020,4.92549991607666
Vietnam,VNM,2020,5.4850001335144
Yemen,YEM,2020,4.19689989089966
Zambia,ZMB,2020,3.75979995727539
Zimbabwe,ZWE,2020,2.9951000213623
